city,country,location,parameter,sourceName,unit,value
Huasco,CL,21 de Mayo,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',37.61
Huasco,CL,21 de Mayo,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',94.77
Los Angeles,CL,21 de mayo,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',35.0
Los Angeles,CL,21 de mayo,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',43.0
Los Angeles,CL,21 de mayo,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',18.97
Los Angeles,CL,21 de mayo,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',42.0
Puerto Montt,CL,Alerce,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',21.0
Puerto Montt,CL,Alerce,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',9.0
Alto Hospicio,CL,Alto Hospicio,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',17.0
Andacollo,CL,Andacollo,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',126.0
Antofagasta,CL,Antofagasta,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',0.39
Antofagasta,CL,Antofagasta,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',28.0
Antofagasta,CL,Antofagasta,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',95.0
Arica,CL,Arica,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',18.04
Balneario,CL,Balneario,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',0.47
Balneario,CL,Balneario,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',0.13
Curanilahue,CL,Balneario Curanilahue,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',82.0
Curanilahue,CL,Balneario Curanilahue,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',26.0
Hualpén,CL,Bocatoma,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',8.66
Hualpén,CL,Bocatoma,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',27.66
Tocopilla,CL,Bomberos,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',17.24
Tocopilla,CL,Bomberos,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',18.1
Calabozo,CL,Calabozo,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',3.9
Puchuncaví,CL,Campiche,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',2.67
Puchuncaví,CL,Campiche,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',222.1
Puchuncaví,CL,Campiche,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',2.65
Puchuncaví,CL,Campiche,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',80.49
Catemu,CL,Catemu,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',5.0
Machal��,CL,Cauquenes,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',29.44
Centro Quintero,CL,Centro Quintero,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',5.79
Centro Quintero,CL,Centro Quintero,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',21.68
Centro Quintero,CL,Centro Quintero,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',31.34
Centro Quintero,CL,Centro Quintero,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1472.02
Centro Quintero,CL,Centro Quintero,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',382.61
Centro Quintero,CL,Centro Quintero,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',21.25
Centro Quintero,CL,Centro Quintero,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',6.72
Centro Quintero,CL,Centro Quintero,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',92.89
Cerrillos,CL,Cerrillos,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',950.18
Cerrillos,CL,Cerrillos,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',36.97
Cerrillos,CL,Cerrillos,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',47.0
Cerrillos,CL,Cerrillos,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',192.0
Coronel,CL,Cerro Merquín,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',4.97
Coronel,CL,Cerro Merquín,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',10.0
Coronel,CL,Cerro Merquín,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',11.0
Cerro Navia,CL,Cerro Navia,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',142.88
Cerro Navia,CL,Cerro Navia,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',0.14
Cerro Navia,CL,Cerro Navia,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1445.57
Cerro Navia,CL,Cerro Navia,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',69.0
Cerro Navia,CL,Cerro Navia,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',150.0
Chaiten Norte,CL,Chaiten Norte,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',999.83
Chaiten Norte,CL,Chaiten Norte,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',51.99
Machalí,CL,Cipreses,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',11.68
Calama,CL,Club Deportivo 23 de Marzo,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',9.14
Calama,CL,Club Deportivo 23 de Marzo,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',96.17
Calama,CL,Club Deportivo 23 de Marzo,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',11.66
Calama,CL,Club Deportivo 23 de Marzo,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',87.27
Club de Empleados,CL,Club de Empleados,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',31.13
Club de Empleados,CL,Club de Empleados,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',3.12
Club de Empleados,CL,Club de Empleados,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1990.81
Club de Empleados,CL,Club de Empleados,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',41.26
Club de Empleados,CL,Club de Empleados,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',52.43
Club de Empleados,CL,Club de Empleados,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',63.74
Calama,CL,Colegio Pedro Vergara Keller,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',4.4
Calama,CL,Colegio Pedro Vergara Keller,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',25.41
Calama,CL,Colegio Pedro Vergara Keller,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',9.65
Calama,CL,Colegio Pedro Vergara Keller,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',19.38
Cabrero,CL,Colicheu,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',3.14
Cabrero,CL,Colicheu,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',19.01
Cabrero,CL,Colicheu,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',666.27
Cabrero,CL,Colicheu,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',3.68
Cabrero,CL,Colicheu,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',15.55
Colmo,CL,Colmo,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',44.57
Colmo,CL,Colmo,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',15.21
Colmo,CL,Colmo,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',22.86
Colmo,CL,Colmo,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',9.86
Colmo,CL,Colmo,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',14.88
Colmo,CL,Colmo,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',7.73
Complejo Deportivo 23 de Marzo,CL,Complejo Deportivo 23 de Marzo,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',36.25
Complejo Deportivo 23 de Marzo,CL,Complejo Deportivo 23 de Marzo,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',9.66
Complejo Deportivo 23 de Marzo,CL,Complejo Deportivo 23 de Marzo,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',35.35
Complejo Deportivo 23 de Marzo,CL,Complejo Deportivo 23 de Marzo,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',7.48
Concón,CL,Concón,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',11.45
Concón,CL,Concón,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',44.47
Concón,CL,Concón,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',93.47
Concón,CL,Concón,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',749.75
Concón,CL,Concón MMA,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',24.0
Concón,CL,Concón MMA,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',33.0
Consultorio - San Vicente,CL,Consultorio - San Vicente,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',14.0
Consultorio - San Vicente,CL,Consultorio - San Vicente,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',40.0
Consultorio - San Vicente,CL,Consultorio - San Vicente,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',13.07
Consultorio - San Vicente,CL,Consultorio - San Vicente,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',3.2
Consultorio - San Vicente,CL,Consultorio - San Vicente,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',37.94
Consultorio - San Vicente,CL,Consultorio - San Vicente,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',2.43
Consultorio - San Vicente,CL,Consultorio - San Vicente,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',51.0
Consultorio - San Vicente,CL,Consultorio - San Vicente,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',67.0
Copiapo Sivica,CL,Copiapo Sivica,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',4.78
Copiapo Sivica,CL,Copiapo Sivica,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',18.54
Copiapo Sivica,CL,Copiapo Sivica,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',115.69
Copiapo Sivica,CL,Copiapo Sivica,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',17.41
Copiapó,CL,Copiapó,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',10.13
Coquimbo,CL,Coquimbo,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',28.75
Coronel,CL,Coronel Norte,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',3.09
Coronel,CL,Coronel Norte,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',182.3
Coronel,CL,Coronel Norte,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',2906.65
Coronel,CL,Coronel Norte,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1.11
Coronel,CL,Coronel Sur,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',628.5
Coronel,CL,Coronel Sur,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',100.74
Coronel,CL,Coronel Sur,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',5.06
Coronel,CL,Coronel Sur,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',8.55
Coronel,CL,Coronel Sur,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',493.72
Coronel,CL,Coronel Sur,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',2.37
Machalí,CL,Coya Población,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',6.94
Coyhaique,CL,Coyhaique,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1.0
Coyhaique II,CL,Coyhaique II,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',5777.61
Coyhaique II,CL,Coyhaique II,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',31.38
Coyhaique II,CL,Coyhaique II,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',94.65
Coyhaique II,CL,Coyhaique II,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',589.46
Coyhaique II,CL,Coyhaique II,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',16.3
Coyhaique II,CL,Coyhaique II,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',15.0
Coyhaique II,CL,Coyhaique II,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',17.0
Coyhaique II,CL,Coyhaique II,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',296.0
Coyhaique II,CL,Coyhaique II,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',327.0
Coyhaique II,CL,Coyhaique II,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1.34
Coyhaique II,CL,Coyhaique II,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',3.78
Salamanca,CL,Cuncumen ,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',31.25
Salamanca,CL,Cuncumen ,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',16.29
Curicó,CL,Curicó,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',18.0
Curicó,CL,Curicó,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',18.28
Huasco,CL,EME F,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',18.73
Huasco,CL,EME F,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',39.8
Huasco,CL,EME F,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',5.44
Huasco,CL,EME F,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',13.55
Huasco,CL,EME F,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',839.9
Huasco,CL,EME M,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',4.21
Huasco,CL,EME M,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',16.97
Huasco,CL,EME M,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',7.56
Hualpén,CL,ENAP Price,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',88.34
Hualpén,CL,ENAP Price,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',33.34
Hualpén,CL,ENAP Price,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',166.76
Hualpén,CL,ENAP Price,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',79.3
Hualpén,CL,ENAP Price,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',4.38
El Bosque,CL,El Bosque,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1025.85
El Bosque,CL,El Bosque,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',26.82
El Bosque,CL,El Bosque,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',37.0
El Bosque,CL,El Bosque,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',105.0
El Bosque,CL,El Bosque,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1.65
El Bosque,CL,El Bosque,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',596.52
Andacollo,CL,El Sauce,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',50.09
Andacollo,CL,El Sauce,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',39.98
Entre Ríos,CL,Entre Ríos,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',8.01
Escuela E-10,CL,Escuela E-10,no2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',1.97
Escuela E-10,CL,Escuela E-10,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',825736.0
Escuela E-10,CL,Escuela E-10,pm25,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',24.74
Escuela E-10,CL,Escuela E-10,pm10,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',45.66
Escuela E-10,CL,Escuela E-10,o3,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',26.37
Escuela E-10,CL,Escuela E-10,so2,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',3.94
Estación Centro,CL,Estación Centro,co,Chile - SINCA,b'\xc2\xb5g/m\xc2\xb3',454.54
